DATA,BH_37044,10.5,30,20,,,,,,
DATA,BH_37044,12,30,19,,,,,,
DATA,BH_37044,13.5,30,15,,,,,,
DATA,BH_37044,15,30,17,,,,,,
DATA,BH_37044,16.5,30,27,,,,,,
DATA,BH_37044,18,30,14,,,,,,
DATA,BH_37044,19.5,30,15,,,,,,
DATA,BH_37044,3,30,14,,,,,,
DATA,BH_37044,4.5,30,15,,,,,,
DATA,BH_37044,6,30,18,,,,,,
DATA,BH_37044,7.5,30,20,,,,,,
DATA,BH_37044,9,30,15,,,,,,
 ,,,,,,,,,,
GROUP,SCPT,,,,,,,,,
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM,,,,
UNIT,,m,MPa,MPa,MPa,,,,,
TYPE,ID,3DP,4DP,4DP,4DP,X,,,,
DATA,CPT_15203,0,0.14808,0,0,,,,,
DATA,CPT_15203,0.01,0.22412,0,0,,,,,
DATA,CPT_15203,0.02,0.59631,0,0,,,,,
DATA,CPT_15203,0.03,0.74038,0,0.0014,,,,,
DATA,CPT_15203,0.04,0.74038,0,0.0031,,,,,
DATA,CPT_15203,0.05,0.83243,0,0.005,,,,,
DATA,CPT_15203,0.06,1.3247,0,0.0097,,,,,
DATA,CPT_15203,0.07,1.969,0.02784,0.0202,,,,,
DATA,CPT_15203,0.08,2.3852,0.029297,0.0086,,,,,
DATA,CPT_15203,0.09,2.7614,0.032524,0.0035,,,,,
DATA,CPT_15203,0.1,3.0576,0.033201,0.0026,,,,,
DATA,CPT_15203,0.11,3.0256,0.02732,0.0025,,,,,
DATA,CPT_15203,0.12,3.0256,0.02732,0.0026,,,,,
DATA,CPT_15203,0.13,2.9295,0.023365,0.0025,,,,,
DATA,CPT_15203,0.14,2.7975,0.026331,0.0023,,,,,
DATA,CPT_15203,0.15,2.6534,0.026799,0.0025,,,,,
DATA,CPT_15203,0.16,2.5573,0.027476,0.0028,,,,,
DATA,CPT_15203,0.17,2.4053,0.029922,0.0033,,,,,
DATA,CPT_15203,0.18,2.2772,0.029662,0.0036,,,,,
DATA,CPT_15203,0.19,2.1611,0.031171,0.0042,,,,,
DATA,CPT_15203,0.2,1.885,0.031171,0.0049,,,,,
DATA,CPT_15203,0.21,1.885,0.0319,0.0035,,,,,
DATA,CPT_15203,0.22,1.7289,0.028569,0.0037,,,,,
DATA,CPT_15203,0.23,1.5208,0.026851,0.0036,,,,,
DATA,CPT_15203,0.24,1.3487,0.026123,0.0031,,,,,
DATA,CPT_15203,0.25,1.2046,0.039446,0.0028,,,,,
DATA,CPT_15203,0.26,1.1246,0.041215,0.001,,,,,
DATA,CPT_15203,0.27,1.3687,0.044858,0.0026,,,,,
DATA,CPT_15203,0.28,1.3687,0.054642,0.0044,,,,,
DATA,CPT_15203,0.29,2.1251,0.066716,0.0026,,,,,
DATA,CPT_15203,0.3,3.6139,0.077489,0.001,,,,,
DATA,CPT_15203,0.31,4.4983,0.091697,0.0012,,,,,
DATA,CPT_15203,0.32,4.9226,0.086024,0.0011,,,,,
DATA,CPT_15203,0.33,5.1307,0.086076,0.001,,,,,
DATA,CPT_15203,0.34,5.2267,0.095704,0.0008,,,,,
DATA,CPT_15203,0.35,5.1667,0.10965,0.0001,,,,,
DATA,CPT_15203,0.36,5.0106,0.10965,0.0001,,,,,
DATA,CPT_15203,0.37,4.9386,0.12266,0.0005,,,,,
DATA,CPT_15203,0.38,4.8425,0.13671,0.0006,,,,,
DATA,CPT_15203,0.39,4.1462,0.14749,0.0007,,,,,
DATA,CPT_15203,0.4,4.6344,0.15295,0.0007,,,,,
DATA,CPT_15203,0.41,4.4143,0.16034,0.0007,,,,,
DATA,CPT_15203,0.42,4.2822,0.16586,0.0007,,,,,
DATA,CPT_15203,0.43,4.2822,0.17158,0.0007,,,,,
DATA,CPT_15203,0.44,4.0261,0.17809,0.0007,,,,,
DATA,CPT_15203,0.45,4.0261,0.1783,0.0007,,,,,
DATA,CPT_15203,0.46,3.9901,0.18579,0.0007,,,,,
DATA,CPT_15203,0.47,3.9741,0.18381,0.0007,,,,,
DATA,CPT_15203,0.48,4.0141,0.17939,0.0008,,,,,
DATA,CPT_15203,0.49,4.0381,0.16513,0.0013,,,,,
DATA,CPT_15203,0.5,4.0461,0.15394,0.0015,,,,,
DATA,CPT_15203,0.51,4.0941,0.13854,0.0016,,,,,
DATA,CPT_15203,0.52,3.934,0.12454,0.0009,,,,,
DATA,CPT_15203,0.53,4.1382,0.12761,0.0007,,,,,
DATA,CPT_15203,0.54,4.3743,0.12188,0.0007,,,,,
