GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,BH_16410,-43.513587,172.589462,HDPH,12.77,19.95,2012-05-11,2012-05-11,
DATA,BH_16407,-43.514228,172.588413,HDPH,12.82,19.95,2012-04-10,2012-04-10,
DATA,BH_25379,-43.513806,172.589091,HDPH,12.33,15.83,2012-05-03,2012-05-03,
DATA,CPT_15481,-43.513587,172.589462,SCPG,12.77,1.03,2012-05-10,2012-05-10,
DATA,CPT_46716,-43.514395,172.589359,SCPG,,10.62015,2014-04-09,2014-04-09,
DATA,CPT_5568,-43.514211,172.685731,SCPG,12.78,1.8,2012-08-02,2012-08-02,
DATA,CPT_55641,-43.514,172.588772,SCPG,,13.84,25/02/2015,25/02/2015,
DATA,CPT_71921,-43.514054,172.58903,SCPG,,3.27,24/02/2016,24/02/2016,
