GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,CPT_71921,-43.514054,172.58903,SCPG,,3.27,24/02/2016,24/02/2016,
" "
GROUP,SCPG
HEADING,LOCA_ID,SCPG_CSA,SCPG_RATE,SCPG_WAT,SCPG_CREW,SCPG_METH,SCPG_REM
UNIT,,cm2,cm/s,m,,,
TYPE,ID,0DP,2DP,2DP,X,X,X
DATA,CPT_71921,15,,,,,
" "
" "
GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT_71921,0.88,0.6677,0.0325,0.0051,
DATA,CPT_71921,0.89,0.656,0.033,0.0045,
DATA,CPT_71921,0.9,0.656,0.0331,0.0047,
DATA,CPT_71921,0.91,0.6521,0.033,0.0049,
DATA,CPT_71921,0.92,0.6521,0.0329,0.0049,
DATA,CPT_71921,0.93,0.6483,0.0318,0.0047,
DATA,CPT_71921,0.94,0.6405,0.0311,0.0045,
DATA,CPT_71921,0.95,0.6327,0.0307,0.0045,
DATA,CPT_71921,0.96,0.6327,0.028,0.0045,
DATA,CPT_71921,0.97,0.59,0.0275,0.0014,
DATA,CPT_71921,0.98,0.5473,0.0276,-0.0008,
DATA,CPT_71921,0.99,0.5473,0.0273,-0.0016,
DATA,CPT_71921,1,0.5162,0.0273,-0.0004,
DATA,CPT_71921,1.01,0.5123,0.0273,0.0004,
DATA,CPT_71921,1.02,0.4929,0.0273,0.0006,
DATA,CPT_71921,1.03,0.4812,0.0273,0.0008,
DATA,CPT_71921,1.04,0.4735,0.0274,-0.0004,
DATA,CPT_71921,1.05,0.4463,0.0273,-0.0018,
DATA,CPT_71921,1.06,0.423,0.0272,-0.0045,
DATA,CPT_71921,1.07,0.4036,0.0265,-0.0055,
DATA,CPT_71921,1.08,0.3802,0.0253,-0.0061,
DATA,CPT_71921,1.09,0.3647,0.0241,-0.0067,
DATA,CPT_71921,1.1,0.3298,0.0234,-0.0075,
DATA,CPT_71921,1.11,0.2987,0.0221,-0.0073,
DATA,CPT_71921,1.12,0.2715,0.0217,-0.0061,
DATA,CPT_71921,1.13,0.2404,0.0212,-0.0053,
DATA,CPT_71921,1.14,0.221,0.0208,-0.0051,
DATA,CPT_71921,1.15,0.2136,0.0202,-0.0051,
DATA,CPT_71921,1.16,0.2103,0.0193,-0.0051,
DATA,CPT_71921,1.17,0.2098,0.0189,-0.0049,
DATA,CPT_71921,1.18,0.229,0.0183,-0.0047,
DATA,CPT_71921,1.19,0.2482,0.0177,-0.0045,
DATA,CPT_71921,1.2,0.3453,0.0172,-0.0038,
DATA,CPT_71921,1.21,0.4929,0.0165,-0.0034,
DATA,CPT_71921,1.22,0.6716,0.0162,-0.003,
DATA,CPT_71921,1.23,0.8308,0.0163,-0.0026,
DATA,CPT_71921,1.24,0.9706,0.0162,-0.0028,
DATA,CPT_71921,1.25,1.0872,0.0161,-0.0061,
DATA,CPT_71921,1.26,1.2309,0.0152,-0.0105,
DATA,CPT_71921,1.27,1.293,0.0146,-0.0134,
DATA,CPT_71921,1.28,1.3668,0.0143,-0.0132,
DATA,CPT_71921,1.29,1.4523,0.014,-0.0128,
DATA,CPT_71921,1.3,1.5261,0.0139,-0.0122,
DATA,CPT_71921,1.31,1.596,0.0138,-0.0122,
DATA,CPT_71921,1.32,1.5727,0.0139,-0.0158,
DATA,CPT_71921,1.33,1.5338,0.0141,-0.0197,
DATA,CPT_71921,1.34,1.4833,0.0147,-0.0223,
DATA,CPT_71921,1.35,1.4251,0.0162,-0.0199,
DATA,CPT_71921,1.36,1.3513,0.0172,-0.0193,
DATA,CPT_71921,1.37,1.2114,0.0184,-0.0192,
DATA,CPT_71921,1.38,1.2114,0.0192,-0.0192,
