GROUP,LOCA
HEADING,LOCA_ID,LOCA_LAT,LOCA_LON,LOCA_TYPE,LOCA_GL,LOCA_FDEP,LOCA_STAR,LOCA_ENDD,LOCA_REM
UNIT,,deg,deg,,m,m,yyyy-mm-dd,yyyy-mm-dd,
TYPE,ID,5DP,5DP,PA,2DP,2DP,DT,DT,X
DATA,SASW04,35.640294,139.938279,GPVS,,21,2015-07-13,2015-07-13,
" "
GROUP,GPVS
HEADING,LOCA_ID,LOCA_ID2,LOCA_ID3,GPVS_TYPE,GPVS_CONF,GPVS_CREW,GPVS_REM
UNIT,,,,,,,
TYPE,ID,ID,ID,X,X,X,X
DATA,SASW04,,,GSWD,,"R Kayen",
" "
GROUP,LOCF
HEADING,LOCA_ID,LOCF_NAME,LOCF_DESC,FILE_NAME
UNIT,,,,
TYPE,ID,X,X,X
DATA,SASW04,1009UR,"Original report","1009UR URAYASU.xlsx"
" "
GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW04,2.14,,216,
DATA,SASW04,2.14,,215,
DATA,SASW04,2.14,,214,
DATA,SASW04,2.14,,212,
DATA,SASW04,2.15,,210,
DATA,SASW04,2.16,,209,
DATA,SASW04,2.17,,207,
DATA,SASW04,2.18,,206,
DATA,SASW04,2.19,,205,
DATA,SASW04,2.2,,205,
DATA,SASW04,2.21,,205,
DATA,SASW04,2.21,,205,
DATA,SASW04,2.22,,204,
DATA,SASW04,2.22,,204,
DATA,SASW04,2.22,,204,
DATA,SASW04,2.22,,203,
DATA,SASW04,2.23,,202,
DATA,SASW04,2.23,,201,
DATA,SASW04,2.23,,201,
DATA,SASW04,2.24,,200,
DATA,SASW04,2.24,,199,
DATA,SASW04,2.24,,199,
DATA,SASW04,2.24,,200,
DATA,SASW04,2.25,,200,
DATA,SASW04,2.28,,202,
DATA,SASW04,2.32,,204,
DATA,SASW04,2.37,,207,
DATA,SASW04,2.42,,210,
DATA,SASW04,2.47,,213,
DATA,SASW04,2.53,,215,
DATA,SASW04,2.59,,217,
DATA,SASW04,2.65,,218,
DATA,SASW04,2.71,,217,
DATA,SASW04,2.72,,216,
DATA,SASW04,2.72,,214,
DATA,SASW04,2.73,,213,
DATA,SASW04,2.74,,211,
DATA,SASW04,2.74,,210,
DATA,SASW04,2.75,,210,
DATA,SASW04,2.75,,210,
DATA,SASW04,2.76,,211,
DATA,SASW04,2.76,,212,
