GROUP,PROJ,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,
GROUP,SCPT,,,,,,,,,,
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM,,,,,
UNIT,,m,MPa,MPa,MPa,,,,,,
TYPE,ID,3DP,4DP,4DP,4DP,X,,,,,
DATA,CPT_26000,0.01,0,0,0,,,,,,
DATA,CPT_26000,0.02,0,0,0,,,,,,
DATA,CPT_26000,0.03,0,0,0,,,,,,
DATA,CPT_26000,0.04,0.01,0,0.0014,,,,,,
DATA,CPT_26000,0.05,0.11,0,0.0031,,,,,,
DATA,CPT_26000,0.06,0.23,0,0.005,,,,,,
DATA,CPT_26000,0.07,0.4,0,0.0097,,,,,,
DATA,CPT_26000,0.08,0.67,0.0004,0.0202,,,,,,
DATA,CPT_26000,0.09,0.76,0.0004,0.0086,,,,,,
DATA,CPT_26000,0.1,0.85,0.0005,0.0035,,,,,,
DATA,CPT_26000,0.11,0.94,0.0005,0.0026,,,,,,
DATA,CPT_26000,0.12,1.11,0.0007,0.0025,,,,,,
DATA,CPT_26000,0.13,1.2,0.001,0.0026,,,,,,
DATA,CPT_26000,0.14,1.29,0.0014,0.0025,,,,,,
DATA,CPT_26000,0.15,1.38,0.002,0.0023,,,,,,
DATA,CPT_26000,0.16,1.47,0.0027,0.0025,,,,,,
DATA,CPT_26000,0.17,1.67,0.004,0.0028,,,,,,
DATA,CPT_26000,0.18,1.79,0.0048,0.0033,,,,,,
DATA,CPT_26000,0.19,1.92,0.0056,0.0036,,,,,,
DATA,CPT_26000,0.2,2.08,0.0065,0.0042,,,,,,
DATA,CPT_26000,0.21,2.43,0.0082,0.0049,,,,,,
DATA,CPT_26000,0.22,2.63,0.009,0.0035,,,,,,
DATA,CPT_26000,0.23,2.85,0.0098,0.0037,,,,,,
DATA,CPT_26000,0.24,3.07,0.0108,0.0036,,,,,,
DATA,CPT_26000,0.25,3.26,0.0121,0.0031,,,,,,
DATA,CPT_26000,0.26,3.7,0.0151,0.0028,,,,,,
DATA,CPT_26000,0.27,3.67,0.0172,0.001,,,,,,
DATA,CPT_26000,0.28,3.76,0.0196,0.0026,,,,,,
DATA,CPT_26000,0.29,3.98,0.0217,0.0044,,,,,,
DATA,CPT_26000,0.3,4.33,0.0232,0.0026,,,,,,
DATA,CPT_26000,0.31,4.91,0.0262,0.001,,,,,,
DATA,CPT_26000,0.32,5.31,0.0282,0.0012,,,,,,
DATA,CPT_26000,0.33,5.86,0.0294,0.0011,,,,,,
DATA,CPT_26000,0.34,6.36,0.0305,0.001,,,,,,
DATA,CPT_26000,0.35,7.19,0.031,0.0008,,,,,,
DATA,CPT_26000,0.36,7.52,0.0304,0.0001,,,,,,
DATA,CPT_26000,0.37,7.75,0.0311,0.0001,,,,,,
DATA,CPT_26000,0.38,7.9,0.0324,0.0005,,,,,,
DATA,CPT_26000,0.39,7.99,0.0339,0.0006,,,,,,
DATA,CPT_26000,0.4,8.06,0.0373,0.0007,,,,,,
DATA,CPT_26000,0.41,8.11,0.0394,0.0007,,,,,,
DATA,CPT_26000,0.42,8.15,0.0422,0.0007,,,,,,
DATA,CPT_26000,0.43,8.21,0.045,0.0007,,,,,,
DATA,CPT_26000,0.44,8.27,0.0478,0.0007,,,,,,
DATA,CPT_26000,0.45,8.26,0.0542,0.0007,,,,,,
DATA,CPT_26000,0.46,8.18,0.0571,0.0007,,,,,,
DATA,CPT_26000,0.47,8.03,0.0598,0.0007,,,,,,
DATA,CPT_26000,0.48,7.79,0.0623,0.0007,,,,,,
DATA,CPT_26000,0.49,7.17,0.0686,0.0008,,,,,,
DATA,CPT_26000,0.5,6.84,0.0737,0.0013,,,,,,
DATA,CPT_26000,0.51,6.67,0.0799,0.0015,,,,,,
DATA,CPT_26000,0.52,6.66,0.087,0.0016,,,,,,
DATA,CPT_26000,0.53,6.71,0.0913,0.0009,,,,,,
DATA,CPT_26000,0.54,6.76,0.0924,0.0007,,,,,,
DATA,CPT_26000,0.55,6.79,0.0936,0.0007,,,,,,
DATA,CPT_26000,0.56,6.84,0.0943,0.0007,,,,,,
DATA,CPT_26000,0.57,6.88,0.0943,0.0007,,,,,,
DATA,CPT_26000,0.58,6.91,0.0949,0.0007,,,,,,
DATA,CPT_26000,0.59,6.96,0.0952,0.0007,,,,,,
DATA,CPT_26000,0.6,6.94,0.0949,0.0007,,,,,,
DATA,CPT_26000,0.61,6.88,0.0947,0.0007,,,,,,
DATA,CPT_26000,0.62,6.82,0.0932,0.0008,,,,,,
DATA,CPT_26000,0.63,6.83,0.0903,0.0009,,,,,,
DATA,CPT_26000,0.64,6.88,0.0878,0.0008,,,,,,
DATA,CPT_26000,0.65,6.94,0.0818,0.0008,,,,,,
DATA,CPT_26000,0.66,7.06,0.0758,0.0008,,,,,,
DATA,CPT_26000,0.67,7.2,0.063,0.0007,,,,,,
DATA,CPT_26000,0.68,7.18,0.0615,0.0008,,,,,,
DATA,CPT_26000,0.69,7.2,0.0581,0.0007,,,,,,
DATA,CPT_26000,0.7,7.26,0.0541,0.0008,,,,,,
DATA,CPT_26000,0.71,7.42,0.0529,0.0009,,,,,,
DATA,CPT_26000,0.72,7.36,0.0589,0.0009,,,,,,
DATA,CPT_26000,0.73,7.54,0.0578,0.0009,,,,,,
DATA,CPT_26000,0.74,7.77,0.0567,0.0009,,,,,,
DATA,CPT_26000,0.75,7.99,0.0558,0.0009,,,,,,
DATA,CPT_26000,0.76,8.23,0.056,0.0009,,,,,,
DATA,CPT_26000,0.77,8.72,0.0553,0.0007,,,,,,
DATA,CPT_26000,0.78,8.92,0.0555,0.0007,,,,,,
DATA,CPT_26000,0.79,9.1,0.0561,0.0007,,,,,,
DATA,CPT_26000,0.8,9.42,0.0571,0.0007,,,,,,
DATA,CPT_26000,0.81,9.59,0.0576,0.0007,,,,,,
DATA,CPT_26000,0.82,9.78,0.0587,0.0007,,,,,,
DATA,CPT_26000,0.83,9.94,0.0587,0.0007,,,,,,
DATA,CPT_26000,0.84,10.09,0.0595,0.0007,,,,,,
DATA,CPT_26000,0.85,10.3,0.0615,0.0007,,,,,,
DATA,CPT_26000,0.86,10.39,0.0621,0.0007,,,,,,
